0,979.65,89
1,978.95,88.05
2,978.65,88.2
3,979.55,88.6
4,979.55,90.55
5,979.75,93.5
6,979.4,93.7
7,979.25,92.25
8,979.05,86.9
9,978.7,78.25
10,978.4,72.3
11,978.05,66.55
12,977.05,62.8
13,975.95,57.95
14,975.2,53.8
15,974.45,51.05
16,974.15,52.35
17,974,54.45
18,974.6,57.75
19,975.75,60.7
20,976.3,63.55
21,976.65,66.35
22,978,69
23,979.45,76.45
24,978.15,90.45
25,978.75,91
26,977.85,91.85
27,976.8,91.6
28,977.25,92.4
29,977.65,92.7
30,978.2,93.6
31,978.75,91.35
32,979.45,79.85
33,979.35,75.6
34,979,73.3
35,978.65,69.25
36,977.7,64.85
37,976.65,59.1
38,975.7,57.65
39,974.95,58.4
40,974.35,58.45
41,974.65,59.7
42,975.35,65.7
43,977.25,70.8
44,976.6,69.6
45,977.95,68.15
46,978.85,70.15
47,978.35,73.05
48,977.95,75.9
49,977.8,80.5
50,977.4,85.75
51,977.35,87.55
52,977.45,88.25
53,977.9,88.35
54,978.35,89.8
55,978.7,88.3
56,979.35,87.25
57,980.1,85.3
58,979.9,78.95
59,979.35,71.15
60,978.6,66.3
61,977.55,63.6
62,976.5,62.55
63,975.55,58.6
64,974.8,57.65
65,974.7,59.35
66,975.9,61.8
67,976.95,68.3
68,978,72.15
69,978.35,76.25
70,978.5,74.1
71,979.1,76.05
72,979.1,78.9
73,978.5,79.7
74,977.65,81.5
75,977.25,82.5
76,977.25,84.9
77,977.25,85.7
78,977.65,89.1
79,978.25,92.5
80,978.9,91.1
81,980.65,81.35
82,979.95,75.1
83,979.65,69
84,980.55,61.95
85,980.55,57.95
86,980.75,55.3
87,980.4,55.5
88,980.25,56.9
89,980.05,59.95
90,979.7,64.1
91,979.4,68.05
92,979.05,70.75
93,978.05,71.9
94,976.95,74.7
95,976.2,80.2
96,975.45,94.5
97,975.15,95.25
98,975,95.3
99,975.6,94.6
100,976.75,94.25
101,977.3,96.25
102,977.65,97.1
103,979,96.9
104,980.45,94.4
105,979.15,89.25
106,979.75,85.7
107,978.85,78.2
108,977.8,73.6
109,978.25,68.85
110,978.65,65.4
111,979.2,60.65
112,979.75,62.55
113,980.45,65.95
114,980.35,68.3
115,980,72.1
116,979.65,77.1
117,978.7,78.6
118,977.65,79.75
119,976.7,83.5
120,975.95,85.8
121,975.35,86.55
122,975.65,88.25
123,976.35,91.3
124,978.25,93.7
125,977.6,95.2
126,978.95,96.1
127,979.85,94.9
128,979.35,86.3
129,978.95,78.8
130,978.8,71.65
131,978.4,65.85
132,978.35,60.95
133,978.45,58.05
134,978.9,54.85
135,979.35,54.3
136,979.7,55.95
137,980.35,59.5
138,981.1,65.45
139,980.9,70.05
140,980.35,72.6
141,979.6,75.25
142,978.55,77.45
143,977.5,81.05
144,976.55,85.15
145,975.8,88.6
146,975.7,90.85
147,976.9,93.15
148,977.95,93.35
149,979,93.7
150,979.35,92.6
151,979.5,90.25
152,980.1,87.15
153,980.1,83.35
154,979.5,78.15
155,978.65,72.5
156,978.25,68.95
157,978.25,65.25
158,978.25,60.6
159,978.65,60.6
160,979.25,60.2
161,979.9,63.05
