Line#,Date,Time,Pressure,Rain ,Relative Humidity,Temperature
104,01/03/18,03:30:00 AM,979.3,0,53.2,21.03
105,01/03/18,04:00:00 AM,979.3,0,51.4,21.2
106,01/03/18,04:30:00 AM,979.4,0,49.8,21.06
107,01/03/18,05:00:00 AM,979.5,0,50.3,20.56
108,01/03/18,05:30:00 AM,979.7,0,50.7,20.46
109,01/03/18,06:00:00 AM,979.9,0,51.6,19.89
110,01/03/18,06:30:00 AM,980.1,0,51.3,19.96
111,01/03/18,07:00:00 AM,980.4,0,49.4,20.44
112,01/03/18,07:30:00 AM,980.7,0,47.3,21.03
113,01/03/18,08:00:00 AM,981.1,0,45.2,21.84
114,01/03/18,08:30:00 AM,981.3,0,43.8,22.37
115,01/03/18,09:00:00 AM,981.6,0,42.4,23.28
116,01/03/18,09:30:00 AM,981.6,0,36.8,24.58
117,01/03/18,10:00:00 AM,981.5,0,33.6,25.11
118,01/03/18,10:30:00 AM,981.4,0,33.7,26.21
119,01/03/18,11:00:00 AM,981.1,0,30.6,27.06
120,01/03/18,11:30:00 AM,980.7,0,32,27.63
121,01/03/18,12:00:00 PM,980.4,0,31.8,28.72
122,01/03/18,12:30:00 PM,979.9,0,30.2,29.44
123,01/03/18,01:00:00 PM,979.4,0,29.5,29.71
124,01/03/18,01:30:00 PM,978.9,0,28.4,31.1
125,01/03/18,02:00:00 PM,978.4,0,26.7,31.36
126,01/03/18,02:30:00 PM,977.9,0,25.3,31.31
127,01/03/18,03:00:00 PM,977.7,0,24.6,31.64
128,01/03/18,03:30:00 PM,977.5,0,24.2,31.59
129,01/03/18,04:00:00 PM,977.6,0,24.4,31
130,01/03/18,04:30:00 PM,977.7,0,25.2,30.7
131,01/03/18,05:00:00 PM,978,0,25.6,30.27
132,01/03/18,05:30:00 PM,978.3,0,28.6,28.89
133,01/03/18,06:00:00 PM,978.6,0,32,27.7
134,01/03/18,06:30:00 PM,978.9,0,35.5,25.96
135,01/03/18,07:00:00 PM,979.5,0,38.8,24.94
136,01/03/18,07:30:00 PM,980,0,40.8,25.14
137,01/03/18,08:00:00 PM,980.7,0,41.7,25.04
138,01/03/18,08:30:00 PM,981.2,0,42.7,24.82
139,01/03/18,09:00:00 PM,981.7,0,44,24.36
140,01/03/18,09:30:00 PM,982,0,43.8,24.6
141,01/03/18,10:00:00 PM,982.1,0,42.5,24.53
142,01/03/18,10:30:00 PM,982.1,0,43.7,24.51
143,01/03/18,11:00:00 PM,982.1,0,45.7,23.66
144,01/03/18,11:30:00 PM,982,0,47.6,23.16
145,01/04/18,12:00:00 AM,982,0,48.2,23.54
146,01/04/18,12:30:00 AM,981.8,0,46.9,23.59
147,01/04/18,01:00:00 AM,981.6,0,48.2,22.9
148,01/04/18,01:30:00 AM,981.3,0,48.8,22.82
149,01/04/18,02:00:00 AM,981.2,0,49.4,22.75
150,01/04/18,02:30:00 AM,981,0,50.7,22.08
151,01/04/18,03:00:00 AM,980.8,0,49.8,21.8
152,01/04/18,03:30:00 AM,980.8,0,51.4,21.51
153,01/04/18,04:00:00 AM,980.8,0,52.9,21.2
154,01/04/18,04:30:00 AM,980.9,0,53.7,21.27
155,01/04/18,05:00:00 AM,981,0,54.1,20.96
156,01/04/18,05:30:00 AM,981.2,0,53.5,20.67
157,01/04/18,06:00:00 AM,981.4,0,55,20.15
158,01/04/18,06:30:00 AM,981.6,0,56,19.89
159,01/04/18,07:00:00 AM,981.8,0,57,19.79
160,01/04/18,07:30:00 AM,982.1,0,59.2,19.98
161,01/04/18,08:00:00 AM,982.4,0,59.6,20.84
162,01/04/18,08:30:00 AM,982.6,0,56.4,22.06
163,01/04/18,09:00:00 AM,982.6,0,46.9,23.76
164,01/04/18,09:30:00 AM,982.5,0,40.3,25.14
165,01/04/18,10:00:00 AM,982.5,0,35.1,25.7
166,01/04/18,10:30:00 AM,982.3,0,35.2,27.01
167,01/04/18,11:00:00 AM,982.1,0,33.8,27.85
168,01/04/18,11:30:00 AM,981.8,0,30.8,29.46
169,01/04/18,12:00:00 PM,981.3,0,27.7,30.65
170,01/04/18,12:30:00 PM,981,0,25.7,31.23
171,01/04/18,01:00:00 PM,980.5,0,24.6,31.43
172,01/04/18,01:30:00 PM,979.9,0,23.6,32.43
173,01/04/18,02:00:00 PM,979.3,0,22.8,32.87
174,01/04/18,02:30:00 PM,978.9,0,22.3,32.82
175,01/04/18,03:00:00 PM,978.6,0,21.8,32.82
176,01/04/18,03:30:00 PM,978.2,0,22.2,32.46
177,01/04/18,04:00:00 PM,978,0,22.2,32.51
178,01/04/18,04:30:00 PM,978,0,22.7,32.12
179,01/04/18,05:00:00 PM,978.1,0,22.7,31.51
180,01/04/18,05:30:00 PM,978.3,0,25.8,30.09
181,01/04/18,06:00:00 PM,978.6,0,28.6,29.46
182,01/04/18,06:30:00 PM,979,0,29.6,27.85
183,01/04/18,07:00:00 PM,979.5,0,31.4,27.43
184,01/04/18,07:30:00 PM,979.9,0,33.3,26.62
185,01/04/18,08:00:00 PM,980.5,0,34.5,26.77
186,01/04/18,08:30:00 PM,981,0,34.5,26.06
187,01/04/18,09:00:00 PM,981.4,0,35.7,25.33
188,01/04/18,09:30:00 PM,981.6,0,36.8,25.14
189,01/04/18,10:00:00 PM,981.7,0,36.8,24.97
190,01/04/18,10:30:00 PM,981.8,0,37.6,24.44
191,01/04/18,11:00:00 PM,981.7,0,39.7,23.81
192,01/04/18,11:30:00 PM,981.9,0,41.9,22.82
193,01/05/18,12:00:00 AM,981.9,0,43.6,23.06
194,01/05/18,12:30:00 AM,981.9,0,45.6,22.32
195,01/05/18,01:00:00 AM,981.7,0,47.1,22.06
196,01/05/18,01:30:00 AM,981.5,0,46,21.91
197,01/05/18,02:00:00 AM,981.1,0,45.4,21.87
198,01/05/18,02:30:00 AM,980.9,0,45.9,21.49
199,01/05/18,03:00:00 AM,980.7,0,46.3,21.01
200,01/05/18,03:30:00 AM,980.8,0,46.4,20.77
201,01/05/18,04:00:00 AM,980.8,0,44.6,21.15
202,01/05/18,04:30:00 AM,980.9,0,47.3,19.79
203,01/05/18,05:00:00 AM,981,0,51.4,19.82
204,01/05/18,05:30:00 AM,981,0,52.5,19.96
205,01/05/18,06:00:00 AM,981.3,0,52.4,19.37
206,01/05/18,06:30:00 AM,981.6,0,53.2,19.17
207,01/05/18,07:00:00 AM,981.9,0,53.5,19.56
208,01/05/18,07:30:00 AM,982.1,0,51,21.13
209,01/05/18,08:00:00 AM,982.3,0,51.9,23.52
210,01/05/18,08:30:00 AM,982.5,0,41.4,25.09
211,01/05/18,09:00:00 AM,982.4,0,32.3,25.96
212,01/05/18,09:30:00 AM,982.3,0,28.3,27.01
213,01/05/18,10:00:00 AM,982.3,0,27.6,27.6
214,01/05/18,10:30:00 AM,982.1,0,27.2,28.64
215,01/05/18,11:00:00 AM,981.7,0,26.7,29.84
216,01/05/18,11:30:00 AM,981.3,0,25.5,30.49
217,01/05/18,12:00:00 PM,980.8,0,24.3,31.48
218,01/05/18,12:30:00 PM,980.2,0,23.8,32.38
219,01/05/18,01:00:00 PM,979.7,0,22.3,32.56
220,01/05/18,01:30:00 PM,979.1,0,21.5,33.42
221,01/05/18,02:00:00 PM,978.6,0,20.6,33.52
222,01/05/18,02:30:00 PM,978.1,0,20.8,33.7
223,01/05/18,03:00:00 PM,977.7,0,20.6,34.12
224,01/05/18,03:30:00 PM,977.4,0,20.9,33.11
225,01/05/18,04:00:00 PM,977.3,0,21.2,33.52
226,01/05/18,04:30:00 PM,977.4,0,21,32.92
227,01/05/18,05:00:00 PM,977.6,0,21.8,32.15
228,01/05/18,05:30:00 PM,978,0,27.7,30.65
229,01/05/18,06:00:00 PM,978.3,0,31,29.49
230,01/05/18,06:30:00 PM,978.6,0,34,28.3
231,01/05/18,07:00:00 PM,979.1,0,36.6,27.48
232,01/05/18,07:30:00 PM,979.5,0,37.8,27.09
233,01/05/18,08:00:00 PM,980.1,0,40.5,26.13
234,01/05/18,08:30:00 PM,980.6,0,43.2,25.38
235,01/05/18,09:00:00 PM,980.8,0,45.7,24.94
236,01/05/18,09:30:00 PM,981,0,48,24.22
237,01/05/18,10:00:00 PM,981.4,0,50.6,24.15
238,01/05/18,10:30:00 PM,981.4,0,52.9,23.93
