iter	RMSE
591	71.78860657
592	71.77153632
593	71.72152278
594	71.69566833
595	71.65938387
596	71.64038584
597	71.6295904
598	71.60160114
599	71.58627276
600	71.56565689
601	71.54980315
602	71.52822561
603	71.50137579
604	71.48452937
605	71.47022915
606	71.44785041
607	71.42905441
608	71.41684487
609	71.39040497
610	71.31898346
611	71.29218933
612	71.26524934
613	71.19673836
614	71.18271252
615	71.15069559
616	71.13745351
617	71.113857
618	71.08680658
619	71.06579646
620	71.04534982
621	71.00105026
622	70.97646428
623	70.96673805
624	70.95420948
625	70.93703708
626	70.92293852
627	70.89554454
628	70.87082644
629	70.84232733
630	70.82392406
631	70.79473669
632	70.77019322
633	70.75218814
634	70.73429018
635	70.69212766
636	70.67561645
637	70.65474844
638	70.62611519
639	70.60982466
640	70.58797226
641	70.57448285
642	70.54895844
643	70.52648526
644	70.51389723
645	70.49117334
646	70.47954129
647	70.45886413
648	70.44305918
649	70.4269351
650	70.38728146
651	70.34599339
652	70.32789934
653	70.29289274
654	70.26790323
655	70.25698351
656	70.21334627
657	70.19737143
658	70.16607386
659	70.1456396
660	70.13168752
661	70.09842529
662	70.08868351
663	70.07130981
664	70.02944552
665	69.99665516
666	69.95785521
667	69.91907317
668	69.89895081
669	69.88686652
670	69.86640916
671	69.84275352
672	69.82878282
673	69.79762479
674	69.78389042
675	69.76291397
676	69.65022674
677	69.61543665
678	69.58436664
679	69.56165346
680	69.52981796
681	69.39673606
682	69.37300892
683	69.34057152
684	69.32816243
685	69.22947602
686	69.20961484
687	69.19935432
688	69.17567839
689	69.14734572
690	69.11055372
691	69.09402525
692	69.04248694
693	69.0227149
694	69.00099045
695	68.96616245
696	68.77944654
697	68.75923741
698	68.69133563
699	68.66035626
700	68.641698
701	68.62493837
702	68.61384016
703	68.58360865
704	68.57005945
705	68.54804633
706	68.52158377
707	68.50470258
708	68.49555786
709	68.45272807
710	68.44196479
711	68.42385917
712	68.40430086
713	68.37958428
714	68.3662927
715	68.35182795
716	68.32652468
717	68.30123717
718	68.2843766
719	68.24923581
720	68.22524423
721	68.20859195
722	68.17141338
723	68.15798384
724	68.14301111
725	68.13529169
726	68.1239755
727	68.11355771
728	68.09812515
729	68.08594317
730	68.07715851
731	68.05446711
732	68.04133707
733	68.01336701
734	67.9889216
735	67.98219924
736	67.96607199
737	67.95394494
738	67.9337652
739	67.91478397
740	67.89137715
741	67.85311762
742	67.82394758
743	67.7953792
744	67.77143649
745	67.74541864
746	67.73236379
747	67.71883826
748	67.70503727
749	67.69378925
750	67.65973101
751	67.64764933
752	67.61734833
753	67.59896869
754	67.57724477
755	67.55105578
756	67.52594397
757	67.50793792
758	67.39997903
759	67.38313977
760	67.36359458
761	67.34846265
762	67.33451358
763	67.32126688
764	67.3153582
765	67.2877252
766	67.26488259
767	67.25528819
768	67.24233992
769	67.22232982
770	67.16183475
771	67.13983167
772	67.11711693
773	67.10884459
774	67.09893306
775	67.08112111
776	67.07011462
777	67.04798835
778	67.03367284
779	67.01974062
780	66.99929947
781	66.98165214
782	66.96494114
783	66.94471568
784	66.93562675
785	66.91428489
786	66.88350084
787	66.86575501
788	66.83910069
789	66.82315187
790	66.80897181
791	66.79994475
792	66.78961901
793	66.76856591
794	66.75413428
795	66.72912852
796	66.7139401
797	66.69585628
798	66.6699506
799	66.64815009
800	66.64174463
801	66.61303155
802	66.59848845
803	66.58277425
804	66.57112071
805	66.47180804
806	66.43563853
807	66.41220159
808	66.39830143
809	66.37041345
810	66.3455322
811	66.33215589
812	66.3181072
813	66.30246828
814	66.28090472
815	66.26447022
816	66.25458409
817	66.24826302
818	66.20703979
819	66.19411227
820	66.17886939
821	66.16462404
822	66.15640236
823	66.13305872
824	66.12367413
825	66.11270428
826	66.08385923
827	66.06665665
828	66.0580512
829	66.04271545
830	66.0280355
831	66.00859955
832	65.99115055
833	65.97025705
834	65.96281939
835	65.92078289
836	65.87084422
837	65.82595424
838	65.81874385
839	65.80418981
840	65.79590224
841	65.77496471
842	65.6851624
843	65.67103982
844	65.6529125
845	65.63465011
846	65.61963872
847	65.60038976
848	65.58692639
849	65.56910083
850	65.55229742
851	65.53331846
852	65.5202696
853	65.51015474
854	65.49392776
855	65.48342634
856	65.46436774
857	65.45097582
858	65.42558873
859	65.4026693
860	65.34752759
861	65.24953798
862	65.23764542
863	65.18048246
864	65.16792508
865	65.15228066
866	65.14299921
867	65.12942458
868	65.10998201
869	65.09155032
870	65.07941173
871	65.06570162
872	65.04141044
873	64.98353729
874	64.96775634
875	64.94633518
876	64.93486996
877	64.92007395
878	64.88465224
879	64.87795842
880	64.85813731
881	64.84188168
882	64.82849871
883	64.80873196
884	64.79052986
885	64.77807104
886	64.76482195
887	64.7352448
888	64.70257561
889	64.67395146
890	64.66348059
891	64.64531817
892	64.62875373
893	64.61548902
894	64.59702262
895	64.5806186
896	64.56813613
897	64.5536089
898	64.52197034
899	64.50262779
900	64.4928816
901	64.47703626
902	64.46769214
903	64.43588182
904	64.42506121
905	64.41541244
906	64.39993123
907	64.3905067
908	64.36425001
909	64.35442685
910	64.34236952
911	64.33268258
912	64.31802915
913	64.30725426
914	64.29317527
915	64.2849267
916	64.27680859
917	64.26053767
918	64.24992503
919	64.23819808
920	64.22999449
921	64.20054474
922	64.18418924
923	64.14909375
924	64.10665531
925	64.09283219
926	64.06663142
927	64.05077037
928	64.03718915
929	64.02810397
930	63.98635099
931	63.973204
932	63.9658558
933	63.95634823
934	63.95105189
935	63.94149338
936	63.92906381
937	63.91418047
938	63.90144371
939	63.89611859
940	63.85702327
941	63.84839994
942	63.83551096
943	63.82457449
944	63.78756656
945	63.77841164
946	63.76541702
947	63.74934322
948	63.7250608
949	63.71412868
950	63.70713454
951	63.69059004
952	63.67429737
953	63.66030382
954	63.64296272
955	63.62822945
956	63.61222135
957	63.58364708
958	63.57205239
959	63.55825791
960	63.54162547
961	63.49826234
962	63.48575486
963	63.47419684
964	63.4631141
965	63.44871667
966	63.43174696
967	63.41196558
968	63.38650298
969	63.37636534
970	63.36770089
971	63.34234727
972	63.33620929
973	63.32139961
974	63.31061982
975	63.2958383
976	63.28205534
977	63.26942979
978	63.25504165
979	63.23591445
980	63.22950487
981	63.18035139
982	63.16475755
983	63.15753361
984	63.14695124
985	63.13193184
986	63.12204785
987	63.114572
988	63.09994516
989	63.08577324
990	63.07901301
991	63.06397346
992	63.04134529
993	63.03207615
994	63.01796053
995	63.00497422
996	62.99462639
997	62.97420789
998	62.95795712
999	62.94554541
