0,980.8,21.95,26.675
1,980.7,23.6,26.575
2,980.65,31.7,24.3
3,980.65,36.95,23.085
4,980.8,46.45,22.895
5,980.85,70,22.595
6,981.3,81.6,22.14
7,982.1,86.55,22.91
8,983.05,86.6,24.92
9,983.4,55,28.02
10,983.9,30.6,29.59
11,983.3,35.5,29.655
12,982.15,32.55,31.525
13,981.15,18.85,32.46
14,980.35,18.15,32.54
15,979.7,17.05,32.42
16,979.45,15.35,31.915
17,979.65,14.85,31.51
18,980.25,19.75,29.27
19,980.85,25.15,27.295
20,981.5,26.4,27.03
21,981.9,30.3,26.61
22,982.1,35,26.425
23,981.95,43.15,24.68
24,981.6,49.7,23.665
25,980.8,53.45,23.565
26,980.3,56.5,22.93
27,980.2,62.3,21.7
28,980.2,60.75,21.415
29,980.6,56.45,20.32
30,981.15,60.65,20.845
31,981.6,59.35,22.645
32,982.55,44.8,25.155
33,983,29.55,28.645
34,983.1,19.7,30.94
35,982.5,19.8,32.605
36,981.2,15.35,34.97
37,979.9,13.55,36.12
38,978.75,13.35,35.13
39,977.9,14.35,35.795
40,977.75,14.35,35.3
41,978,14.95,34.135
42,978.5,16,32.395
43,979.3,17.2,30.9
44,980.1,18.95,29.195
45,980.85,21.7,27.985
46,981.45,23.55,27.25
47,981.4,23.3,27.31
48,980.95,23.8,27.01
49,980.25,25.85,25.66
50,979.55,33.75,24.605
51,979.3,47.75,23.7
52,979.45,53.5,22.815
53,980.15,59.65,21.985
54,981.25,69.8,21.33
55,981.9,68.35,22.035
56,982.8,69.15,25.49
57,983.05,66.9,28.58
58,982.75,49.1,31.935
59,981.85,34.25,33.735
60,980.55,23.75,34.755
61,979.35,20.55,35.89
62,978.2,22.05,36.945
63,977.25,19.65,36.93
64,976.9,15.75,36.685
65,976.85,14.1,35.425
66,977.3,16.5,32.385
67,978.1,18.55,30.205
68,979.25,18.9,29.29
69,980.1,19,28.845
70,980.5,18.7,28.185
71,980.4,19.95,27.015
72,980.6,33,25.95
73,980.05,54.25,24.485
74,979.4,72,24.425
75,979.2,82.5,24.35
76,979.35,87.1,23.86
77,979.95,88.45,23.375
78,981.45,88.85,23.23
79,981.7,88.2,24.28
80,981.85,83.4,26.59
81,982,72.7,29.71
82,981.75,59.8,31.905
83,981,48.1,33.51
84,980,39.05,35.555
85,978.9,35.95,35.435
86,977.75,32.95,36.135
87,976.75,32.6,36.16
88,976.25,32,36.35
89,976.3,32.55,35.905
90,977,34.55,33.825
91,978.15,41.4,32.23
92,978.9,44.95,31.38
93,979.75,47.3,30.48
94,980.65,55.6,28.58
95,981.1,67.7,27.015
96,981.05,74.45,26
97,980.5,79.65,25.245
98,979.75,83,24.795
99,979.7,85.95,24.47
100,979.6,88.3,24.135
101,979.85,89.85,23.98
102,980.3,90.5,24.075
103,981.1,91.15,24.305
104,981.75,88.35,26.49
105,982.35,80.4,27.75
106,982.2,71.4,30.64
107,981.45,62.3,32.115
108,980.15,53.35,33.91
109,978.95,44,34.925
110,977.65,36.95,35.905
111,976.75,36.25,36.69
112,976.3,31.2,36.43
113,976.4,30.05,36.135
114,976.95,34.15,34.035
115,977.85,39.85,31.705
116,978.65,42.45,30.165
117,979.45,35.7,30.22
118,979.85,36.4,29.2
119,980.05,38.55,28.32
120,979.95,40.15,27.49
121,979.4,43.3,26.71
122,979,57.7,24.885
123,978.95,74.45,24.005
124,979.25,80.35,22.845
125,979.6,84.3,23.33
126,980.3,88.65,24.06
127,981.2,88.75,24.905
128,981.9,85.35,26.455
129,982.55,79,27.64
130,982.35,67.2,30.62
131,981.4,51.9,33.205
132,979.95,37.6,35.675
133,978.85,30.75,37.07
134,977.95,22.4,38.365
135,976.95,21.55,38.17
136,976.35,22.3,37.645
137,976.45,23.9,36.905
138,976.95,27.25,33.82
139,977.9,32.55,30.995
140,979,36.2,30.635
141,979.95,37.35,30.115
142,980.35,41.7,28.83
143,980.5,46.65,29.115
144,980.55,60.85,27.05
145,980,76.55,26.585
146,979.3,83.6,26.325
147,978.9,86.15,25.815
148,979.1,88.15,25.54
149,979.55,89.6,25.585
150,980.15,89.9,25.525
151,980.8,90.3,25.61
152,981.55,89.3,26.46
153,982.15,83.2,28.1
154,982,71.7,30.76
155,981.5,62.5,32.885
156,980.5,53.45,34.19
157,979.35,46.05,36.04
158,978.15,40.15,35.45
159,977.05,37.2,36.985
160,976.15,34.05,37.18
161,976.05,33.05,35.65
162,976.95,41.75,32.825
163,978.3,52.25,29.83
164,979.35,60.75,28.64
165,980.3,66.45,27.76
166,980.8,72.15,26.94
167,980.6,75.75,26.5
168,980.3,78,26.035
169,979.65,80.05,25.515
170,979.05,82.6,24.845
171,978.45,84.25,24.69
172,978.45,85.55,24.495
173,978.6,86.95,23.98
174,979.25,89.35,23.295
175,980.15,92.45,23.315
176,980.75,92.4,24.955
177,981.15,82.95,27.36
178,981.1,73.25,29.63
179,980.5,64.5,31.5
180,979.5,61.25,32.515
181,978.15,55.2,33.835
182,976.85,52,35.075
183,975.45,48.15,34.455
184,974.3,49.6,34.045
185,975.25,61.6,28.195
186,976.2,80.05,24.705
187,977.85,77.15,23.13
188,978.5,87.1,22.955
189,979.25,85.2,23.88
190,980.6,87.75,23.555
191,982.05,88.35,23.63
192,981.55,90.5,22.74
193,980.6,92.2,22.115
194,979.35,92.7,22.32
195,978.25,91.5,22.465
196,978.35,92,22.17
197,978.6,91.85,22.715
198,978.9,89.85,22.525
199,980.3,91.3,22.815
200,981.65,88.9,23.46
201,982.95,86.5,24.51
202,983.35,82.85,25.26
