0,981,90
1,980.95,92.05
2,980.25,93.6
3,979.5,94.7
4,979.15,95.55
5,979.3,95.75
6,980,95.35
7,980.85,94.7
8,981.7,91.75
9,982,85.25
10,981.9,80.35
11,981.6,77.1
12,981,73
13,979.85,69.35
14,978.45,66.75
15,977.5,64.05
16,977,64.15
17,977.1,68.95
18,977.9,78.6
19,978.55,79.75
20,979.9,83.5
21,980.2,87.25
22,980.2,89.35
23,981.5,91.8
24,981.3,93.5
25,980.6,93.65
26,980.25,93.75
27,980.05,95
28,980,95.6
29,979.9,96.5
30,980.05,96.45
31,980.25,94.15
32,980.6,87.3
33,981.1,80.75
34,981.15,74.45
35,980.45,70.75
36,979.7,68.2
37,978.45,65.6
38,977.55,62.85
39,977,64.65
40,976.6,66.15
41,976.65,68.55
42,976.9,71.6
43,977.3,76.7
44,978.3,80.9
45,979.35,82.55
46,980.2,84.25
47,980.75,85.15
48,980.6,87.45
49,980.4,91.7
50,980,92.85
51,979.45,93.95
52,979.45,94.85
53,979.85,95.9
54,980.25,95.8
55,980.65,94.35
56,981.05,89.45
57,981.3,82.75
58,981,77.45
59,980.7,73.8
60,979.75,69.8
61,978.45,64.95
62,976.85,62.7
63,975.65,60.6
64,974.95,59.3
65,974.85,65
66,975.5,70.4
67,977.05,77.85
68,978.4,92.4
69,978.75,94.55
70,980.65,95.45
71,981.3,95.45
72,981.05,95.1
73,980.55,95.7
74,980.05,96.05
75,979.25,96.55
76,978.8,96.7
77,979.35,97.2
78,980.3,98.1
79,980.5,98.45
80,981.55,97.2
81,981.95,92.8
82,981.85,89.05
83,981.6,86.35
84,980.8,81.95
85,979.7,77.55
86,978.6,76.2
87,977.95,73.15
88,977.75,79.6
89,977.9,82.9
90,978.2,86.35
91,978.6,89.2
92,979.15,90.1
93,979.55,91.15
94,979.95,91.7
95,980.15,92.55
96,979.8,93.4
97,979.55,94.35
98,978.95,94.65
99,978.55,94.35
100,978.7,95.7
101,978.75,97.65
102,979.25,98.45
103,980,97.75
104,981,93.95
105,980.9,84.95
106,980.25,79.55
107,979.85,72.4
108,978.95,66.85
109,977.85,61.3
110,976.75,58.55
111,976.45,59.1
112,976.3,63.95
113,976.65,68.55
114,977.15,72.45
115,977.7,76
116,978.55,78.95
117,979.3,80.9
118,979.85,82
119,980.15,84.45
120,979.85,84.65
121,979.1,84.1
122,978.7,87.5
123,978.4,88
124,978.25,87.2
125,978.6,88.25
126,979,89.95
127,979.9,90.05
128,980.55,80.65
129,980.8,72.95
130,980.8,70.25
131,980.55,66.45
132,979.9,65.1
133,979.1,63.7
134,978.4,63.25
135,978.15,63.25
136,978,66.05
137,978.2,69.15
138,978.4,73.35
139,979.3,77.3
140,979.85,79.15
141,980.55,81.95
142,981.25,82.55
143,981.35,84.2
144,981.15,88.5
145,980.7,90.05
146,980.45,91.55
147,980.35,93.1
148,980.45,93.95
149,980.8,95.25
150,981,96.35
151,981.25,96.45
152,981.7,90.55
153,981.75,82.65
154,981.45,75
155,981,68.35
156,980.4,65.45
157,979.55,64.3
158,978.5,61.5
159,978.05,60.3
160,977.65,60.4
161,977.2,62.9
162,977.65,66.35
163,978.7,71.65
164,979.9,73.9
165,980.6,92.55
166,980.4,94.15
167,981.1,95
168,981.25,94.75
169,981.4,94.75
170,981.35,95.65
171,981.25,96.7
172,980.75,96.9
173,980.55,97.3
174,980.5,97.7
175,980.4,97.2
176,980.5,91.4
177,980.3,84.2
178,979.8,77.15
179,979.3,71.3
180,978.55,69.7
181,977.95,67.25
182,977.55,65.95
183,976.85,63.7
184,976.55,64.5
185,977,68.65
186,977.65,72.9
187,978,78.35
188,978.05,78.95
189,978.25,81.3
190,978.65,83.65
191,978.7,85.8
192,978.7,87.95
193,978.55,90.15
194,978.1,90.65
195,977.75,92.45
196,977.85,94.3
197,978.35,95.4
198,978.85,96.65
199,979.35,96.45
200,979.7,90.3
201,979.65,83.55
202,979.55,77.8
203,979.35,73.1
204,978.65,69.85
205,977.5,66.35
206,976.7,63.85
207,975.9,64.85
208,975.35,62.4
209,975.35,64
210,975.85,68.35
211,976.8,72.9
212,978.4,75.35
213,980.5,92.25
214,978.9,97.85
215,978.9,98.6
216,978.5,98.9
217,978.35,98.9
218,977.4,98.95
219,977,98.95
220,977.65,98.3
221,978.05,98.05
222,978.65,98.1
223,979.15,97.35
224,979.55,92.35
225,979.95,86
226,979.75,79.3
227,979.3,73.6
228,978.8,68.3
229,977.9,64.4
230,977.2,60.15
231,976.55,60.05
232,976.2,60.85
233,976.1,63.7
234,976.5,71.55
235,976.75,77.3
236,977.15,80.8
237,978,83.25
238,978.6,84.5
239,978.8,86.3
240,978.4,88.05
241,978.05,88.65
242,977.8,92.3
243,977.8,92.55
244,978.15,93.2
245,978.5,94.3
246,978.85,95.25
247,979.6,93.95
248,980.4,88.2
249,980.75,84.85
250,980.55,79.15
251,980.05,74.9
252,979.25,71.3
253,978.25,67.35
254,977.45,65.95
255,976.65,65.2
256,977.9,77.9
257,977.7,92.9
258,978.05,93.95
259,978.4,93.6
260,978.6,92.05
261,979.5,93.85
262,980.25,95.1
263,980.8,95.8
264,980.55,96.25
265,979.85,96.6
266,979.25,97.05
267,979.25,97.55
268,979.35,98.05
269,979.5,98.35
270,980.1,98.5
271,980.6,97.95
272,981.15,92.9
273,981.35,84.95
274,981.2,80.15
275,980.65,71.95
276,979.85,67.35
277,978.8,65.05
278,978.05,63.05
279,977.4,63.75
280,977.1,63.05
281,977.05,66.15
282,977.55,72
283,978.1,77.2
284,978.35,79.55
285,978.75,81.65
