Pressure,Relative Humidity,Temperature
978.35,87.35,22.73
978.7,90.2,22.455
979.25,91.9,22.705
980.1,94.1,23.205
980.5,94,25.38
980.2,83.25,28.645
979.35,62.1,31.19
978.2,46.85,32.99
976.95,31.4,34.865
975.95,23.3,35.65
975.45,20.3,36.105
975.35,18.7,35.425
975.75,21.05,33.285
976.4,28.65,30.045
977.4,41.1,29.14
978.45,49.5,28.16
979.05,55.6,27.37
979.25,60.5,26.375
979.15,66,25.54
979.25,70.75,24.56
978.95,74.1,24.475
978.85,73.9,24.62
978.8,81.55,23.955
978.9,87.95,23.58
979.4,90.4,23.27
979.95,92.7,23.33
980.7,93.75,23.64
981.75,94.05,24.4
982.45,92.85,25.5
982,85.15,27.765
981.2,72.45,30.785
980.25,60.3,32.46
979.1,51.2,33.575
977.8,42.9,34.325
977.2,36.95,34.68
977,36.55,34.255
977.25,36.7,33.485
977.7,42.6,30.295
978.35,50.5,29.39
979.45,56.95,27.875
980.1,61.7,26.925
980.2,64.25,25.65
980.2,65.05,25.685
980.4,67.25,25.065
980.2,73.2,24.75
979.8,78.65,24.645
979.7,86.2,23.47
980.15,91.1,23.555
980.8,92.9,23.845
981.35,93.5,23.725
982.05,94.05,23.98
983.05,92.9,25.785
983.55,83.55,28.22
983.05,73.9,29.855
982.1,64.45,31.485
981,53.85,32.43
979.9,42.2,34.53
978.65,36.3,34.955
977.95,33.25,35.25
977.85,35.85,34.205
977.9,40.25,33.12
978.15,46.3,30.41
978.55,51.45,28.22
979.35,54.55,27.395
980.1,56.85,26.455
980.05,59.35,26.28
979.9,63,25.015
979.85,65.6,24.81
979.55,72.7,24.29
978.95,83.5,23.845
978.75,90.65,23.485
979.2,93.85,23.545
979.7,94.8,23.64
980.1,95.4,23.16
981.1,95.6,23.545
982.05,93.6,25.745
982.5,86.95,26.76
982.15,75.05,29.185
981.45,63.6,30.055
980.6,55.5,32.265
979.3,50.4,33.48
978.05,46.05,34.175
977.35,43.3,33.995
977.2,42.85,33.77
977.45,46.1,32.94
977.8,51.85,31.05
978.5,58.05,29.415
979.3,60.65,28.97
979.85,62.4,28.445
979.95,64.65,27.615
979.75,69.05,26.28
979.7,74.2,25.275
979.5,77.1,24.875
979,80.25,24.255
978.9,88.2,23.64
979.25,93.8,23.65
979.9,95.45,23.785
980.2,96.25,23.745
980.75,96.85,23.955
981.55,96.4,25.355
982.1,91.25,26.99
981.9,80.7,28.665
981.05,71.8,30.33
980.1,63.2,32.655
978.85,56.3,32.985
977.4,49.35,33.845
976.45,45.05,34.66
976.15,43.6,34.02
976.3,44.9,33.39
976.95,50,30.955
977.65,56.4,29.58
978.4,60.45,28.695
979.1,65.3,27.53
979.45,67.3,27.175
979.05,69.8,26.315
979.35,73.15,25.77
979.05,76.9,25.22
978.85,81.45,24.215
978.8,87.5,24.505
979.1,90.55,24.715
979.5,90.9,24.86
979.95,91.6,24.54
980.5,91.65,25.28
981.3,89.4,26.345
981.65,85.25,27.37
981.15,75.15,30.675
980.3,64.35,31.55
979.25,57.4,33.305
978.1,49.25,34.18
976.85,44.65,34.865
976,40.7,35.89
975.65,39.55,34.8
975.65,40.9,34.335
976.2,46.15,31.845
976.95,52.1,30.23
978,58.35,27.965
979.35,60.8,26.83
980.1,66.95,25.475
979.9,64.85,25.05
979.3,65,24.785
979.2,68.1,24
978.7,70.45,23.385
978.3,72.85,23.16
978.4,75.5,22.595
978.65,78.8,22.145
979,80.35,21.95
979.55,78.8,22.415
980.65,75.2,24.435
981.45,72.75,26.755
981.75,73.25,28.22
981.1,68.3,30.42
980.1,62.7,32.035
979.15,60.8,31.305
978.15,59.85,32.175
977.55,60.05,31.755
977.1,61,31.46
977.45,63.05,30.495
978.15,66.65,29.435
978.9,71,28.405
980.55,72.35,26.77
981.2,83.75,24.15
981.5,83.45,24.1
981.15,84.35,23.63
980.75,81.75,22.885
980.2,81,23.075
980.1,84,22.07
979.8,87.55,21.64
979.8,87.85,21.615
980.05,88.55,21.59
980.45,89.9,21.925
981.05,91.7,22.25
982.05,93.35,23.175
982.6,89.1,25.82
982.55,79.15,28.87
981.9,68.85,30.155
980.9,61.25,32.275
980,51.5,33.925
979.05,53.3,32.745
978.3,55.15,32.755
977.9,55.1,33.26
978.05,56.95,31.88
978.75,61.05,30.455
979.15,65.55,29.375
980.15,65.05,28.155
981.35,67.4,26.88
981.8,68.25,26.205
981.6,71.3,26.095
981.7,74.65,25.6
982.1,79,24.24
981.8,85.8,23.15
981.1,87.1,22.97
981.25,87.75,22.51
981.55,90.1,22.225
981.55,91.25,21.89
982.35,91.25,22.815
983.1,86.45,24.73
983.35,73.6,27.52
983,45.2,29.725
982.7,32.55,31.025
981.8,27.7,31.74
980.85,24.7,33.22
979.6,22.9,34.375
978.75,22.75,33.525
978.65,24.15,32.445
979.05,24.35,31.66
979.7,25.1,30.205
980.3,24.85,28.695
981.2,29.2,27.345
981.85,34.4,26.255
981.85,36.65,25.355
981.7,41.95,24.18
981.5,43.4,23.845
981,44.75,23.135
980.65,50.7,22.155
980.15,49.8,21.64
980.4,46.6,22.585
981,49.25,21.51
981.65,63.85,21.345
982,70.1,21.665
982.75,82.3,22.44
983.15,82.95,26.64
983.3,56.35,29.38
982.35,40.7,31.245
