0,981.6,96.75
1,981.4,97.2
2,980.55,97.4
3,980.1,97.6
4,979.85,97.55
5,980.05,97.45
6,980.7,97.35
7,981.65,96.95
8,982.1,95.3
9,982.35,91.85
10,982.25,88.1
11,982.05,84.15
12,981.4,81.3
13,980.75,87.1
14,979.8,84.5
15,979.75,89.7
16,979.3,91.95
17,979.25,93.8
18,979.6,95.05
19,980.2,95.7
20,980.95,96.5
21,981.4,97.25
22,981.9,97.8
23,981.7,98.15
24,981.5,98.6
25,980.95,99
26,980.5,99.2
27,979.9,99.55
28,980.15,99.75
29,980.4,99.75
30,980.95,99.7
31,981.45,99.45
32,982.1,97.65
33,982.6,93.8
34,982.45,88.5
35,981.85,82.95
36,981.2,82.45
37,980.25,75.7
38,979.3,70.05
39,978.5,70.15
40,978.1,67.9
41,978,67.4
42,978.35,72.4
43,979.25,80.3
44,980.5,87.75
45,981.1,89.4
46,981.9,91.05
47,982.25,93.45
48,982.4,95.1
49,982.05,95.75
50,981.55,95.85
51,981.45,96.2
52,981.45,95.65
53,981.7,94.7
54,982.3,95.4
55,982.9,95.35
56,983.25,89.3
57,983.8,82.7
58,983.7,77.8
59,983.05,72.65
60,982.35,67.45
61,981.55,65.2
62,980.65,63.1
63,979.8,62.05
64,979.35,61.7
65,979.35,63.2
66,979.5,66.4
67,980.2,74.5
68,980.9,79.8
69,981.75,83.3
70,982.75,88.15
71,983,90.6
72,982.85,92.1
73,982.5,93.4
74,982.15,94.75
75,981.75,95.65
76,981.9,96.2
77,982.05,96.3
78,982.35,96.4
79,983.15,96
80,983.6,90.05
81,983.75,81.95
82,983.55,77.5
83,983.3,74.5
84,982.6,72
85,981.75,66.85
86,980.85,66.45
87,980.05,64.15
88,979.5,70.25
89,979.65,70.5
90,980.05,74.05
91,980.6,78.8
92,981.3,83.4
93,982,86.4
94,982.95,88
95,983.15,90.8
96,982.9,90.9
97,982.9,91.55
98,982.4,92.85
99,981.85,94.85
100,981.65,95.8
101,982.25,95.6
102,982.4,95.4
103,982.75,95.1
104,983.2,89.8
105,983.5,82.8
106,983.05,78.1
107,982.8,74.55
108,981.95,70.5
109,981.15,70.1
110,980.55,70.8
111,979.75,69.4
112,979.3,70.65
113,979.25,69.65
114,979.25,74.45
115,980.1,79.5
116,981.3,82
117,982.15,86.95
118,982.85,90
119,983.15,93.55
120,982.4,95.2
121,982,96.15
122,981.1,96.35
123,980.9,96.55
124,980.95,96.8
125,981.2,96.85
126,981.45,97.05
127,981.75,95.6
128,982.7,91.65
129,982.6,86.95
130,982.35,82.5
131,981.8,79.35
132,981.1,76.7
133,980.45,72.45
134,979.55,68.5
135,978.75,67.25
136,977.9,67.35
137,978.25,70.35
138,978.6,74.9
139,979.2,79.3
140,979.95,82.15
141,980.5,85.85
142,980.5,87.3
143,980.95,89.75
144,981,90.6
145,980.75,91.4
146,981.2,93.4
147,980.9,95.1
148,981.5,94.75
149,980.2,96.35
150,980.55,97.4
151,981.4,97.35
152,982.2,96.15
153,983.2,94.55
154,983.9,96.6
155,982.6,96.65
156,981.75,86.15
157,980.55,78.5
158,979.6,76.5
159,979.1,81.05
160,979.1,87.35
161,979.35,89.1
162,979.85,91.15
163,980.7,92.85
164,981.2,94.1
165,981.7,95.15
166,982.1,96.35
167,982.25,97.2
168,981.9,97.85
169,981.35,98.15
170,981.1,98.2
171,981.3,98.35
172,981.4,98.65
173,981.8,98.85
174,981.85,98.8
175,982.2,98.3
176,982.7,93.55
177,983.2,88.25
178,982.85,82
179,982.4,75.8
180,982.25,73.75
181,981.55,71.3
182,980.9,78.9
183,980.5,78.65
184,980.75,86.15
185,981,86.55
186,980.85,88.4
187,981.6,90.7
188,982.15,92.4
189,982.6,94.05
190,983,95.15
191,983.4,95.9
192,983.1,96.1
193,982.95,96.5
194,982.35,97.15
195,982.4,97.55
196,982.55,97.6
197,982.4,97.5
198,982.6,96.85
199,983.15,96.15
200,983.6,92.65
201,983.7,85
202,983.65,79.05
203,983.1,75.5
204,982.3,70.9
205,981.3,67.5
206,980.6,65.15
207,979.9,70.6
208,979.45,78.1
209,979.6,75.65
210,979.85,78.95
211,980.2,81.25
212,980.95,81.5
213,981.4,82.7
214,982,87.75
215,982.4,93.25
216,982.05,95.55
217,981.25,96.3
218,981.15,96.55
219,981.1,96.85
220,981.2,97.1
221,981.35,97.6
222,981.65,97.75
223,982.35,97.75
224,982.85,97
225,983.25,93.4
226,983.05,90.3
227,982.75,91
228,982.25,88.9
229,981.65,84.8
230,981.1,88.15
231,980.55,87.05
232,980.25,89.35
233,980.45,93.1
234,981.15,95.1
235,981.65,96.5
236,982.2,97.45
237,982.65,98.15
238,982.7,98.7
